scale,round,ordinal,variant,commit,worktree,retry_attempt,round_median_s,rank_max_samples_s
small,0,0,d-new,66616d64,/home/yomia/src/nnscaler,0,0.09768597781658173,"[0.09768597781658173, 0.10336915403604507, 0.09390436112880707]"
small,0,1,serial,66616d64,/home/yomia/src/nnscaler,0,0.036223623901605606,"[0.036223623901605606, 0.03934110328555107, 0.03419998660683632]"
small,0,2,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.05586932972073555,"[0.051460471004247665, 0.05586932972073555, 0.05921472981572151]"
small,0,3,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.06823211908340454,"[0.07903522253036499, 0.06738914549350739, 0.06823211908340454]"
small,1,0,serial,66616d64,/home/yomia/src/nnscaler,0,0.030101316049695015,"[0.025131545960903168, 0.030101316049695015, 0.03225076198577881]"
small,1,1,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.06415355205535889,"[0.059005483984947205, 0.06415355205535889, 0.07030092179775238]"
small,1,2,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.07025423645973206,"[0.07551764696836472, 0.07025423645973206, 0.06795179843902588]"
small,1,3,d-new,66616d64,/home/yomia/src/nnscaler,0,0.05567094683647156,"[0.052265167236328125, 0.05567094683647156, 0.06338229775428772]"
small,2,0,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.05222545936703682,"[0.04697806015610695, 0.05222545936703682, 0.05239067226648331]"
small,2,1,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.08961163461208344,"[0.0720977932214737, 0.08961163461208344, 0.09001772105693817]"
small,2,2,d-new,66616d64,/home/yomia/src/nnscaler,0,0.052768293768167496,"[0.050796471536159515, 0.052768293768167496, 0.05408189445734024]"
small,2,3,serial,66616d64,/home/yomia/src/nnscaler,0,0.041042424738407135,"[0.0369974784553051, 0.041042424738407135, 0.04186158627271652]"
small,3,0,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.07747355848550797,"[0.07747355848550797, 0.08125346153974533, 0.07400953769683838]"
small,3,1,d-new,66616d64,/home/yomia/src/nnscaler,0,0.07776417583227158,"[0.0829317718744278, 0.06768523156642914, 0.07776417583227158]"
small,3,2,serial,66616d64,/home/yomia/src/nnscaler,0,0.037033773958683014,"[0.03330076485872269, 0.037033773958683014, 0.038246139883995056]"
small,3,3,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.08982095867395401,"[0.08192557096481323, 0.08982095867395401, 0.09466424584388733]"
small,4,0,d-new,66616d64,/home/yomia/src/nnscaler,0,0.057852067053318024,"[0.057852067053318024, 0.05777743458747864, 0.061236944049596786]"
small,4,1,serial,66616d64,/home/yomia/src/nnscaler,0,0.039097730070352554,"[0.0341261625289917, 0.039097730070352554, 0.04066243767738342]"
small,4,2,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.07538383454084396,"[0.08046788722276688, 0.07538383454084396, 0.07100136578083038]"
small,4,3,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.062206022441387177,"[0.05797315761446953, 0.062206022441387177, 0.06512878835201263]"
small,5,0,serial,66616d64,/home/yomia/src/nnscaler,0,0.039503831416368484,"[0.03410555049777031, 0.039503831416368484, 0.040878381580114365]"
small,5,1,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.10055692493915558,"[0.09569834917783737, 0.10055692493915558, 0.1014518216252327]"
small,5,2,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.06877829134464264,"[0.06877829134464264, 0.06476259231567383, 0.07519418746232986]"
small,5,3,d-new,66616d64,/home/yomia/src/nnscaler,0,0.06939753890037537,"[0.06837218999862671, 0.07228369265794754, 0.06939753890037537]"
small,6,0,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.08005464822053909,"[0.07758454233407974, 0.08005464822053909, 0.08445246517658234]"
small,6,1,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.06530331075191498,"[0.059357382357120514, 0.06530331075191498, 0.07783085107803345]"
small,6,2,d-new,66616d64,/home/yomia/src/nnscaler,0,0.07691852003335953,"[0.07181687653064728, 0.07691852003335953, 0.07853436470031738]"
small,6,3,serial,66616d64,/home/yomia/src/nnscaler,0,0.037717774510383606,"[0.03277258202433586, 0.037717774510383606, 0.03872807323932648]"
small,7,0,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.10086234658956528,"[0.0760168805718422, 0.10404840111732483, 0.10086234658956528]"
small,7,1,d-new,66616d64,/home/yomia/src/nnscaler,0,0.05782173573970795,"[0.05782173573970795, 0.05563368648290634, 0.0648500919342041]"
small,7,2,serial,66616d64,/home/yomia/src/nnscaler,0,0.042280443012714386,"[0.03938208147883415, 0.042280443012714386, 0.04363914951682091]"
small,7,3,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.0688108429312706,"[0.057337623089551926, 0.0688108429312706, 0.08621051907539368]"
large,0,0,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.10578154772520065,"[0.10578154772520065, 0.09709159284830093, 0.11578589677810669]"
large,0,1,serial,66616d64,/home/yomia/src/nnscaler,0,0.08439546078443527,"[0.08203429728746414, 0.08439546078443527, 0.08582080155611038]"
large,0,2,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.15120689570903778,"[0.14996859431266785, 0.15120689570903778, 0.15646912157535553]"
large,0,3,d-new,66616d64,/home/yomia/src/nnscaler,0,0.13711784780025482,"[0.12925240397453308, 0.13711784780025482, 0.144875168800354]"
large,1,0,serial,66616d64,/home/yomia/src/nnscaler,0,0.08259640634059906,"[0.07434488832950592, 0.08259640634059906, 0.08346995711326599]"
large,1,1,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.1979864537715912,"[0.1979864537715912, 0.1933681219816208, 0.20031417906284332]"
large,1,2,d-new,66616d64,/home/yomia/src/nnscaler,0,0.15308356285095215,"[0.15037788450717926, 0.1665491759777069, 0.15308356285095215]"
large,1,3,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.11872415989637375,"[0.11082147806882858, 0.11872415989637375, 0.12215830385684967]"
large,2,0,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.11896716803312302,"[0.11176692694425583, 0.12577195465564728, 0.11896716803312302]"
large,2,1,d-new,66616d64,/home/yomia/src/nnscaler,0,0.15040068328380585,"[0.1564437747001648, 0.15040068328380585, 0.1405756175518036]"
large,2,2,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.16484256088733673,"[0.1320282220840454, 0.17890852689743042, 0.16484256088733673]"
large,2,3,serial,66616d64,/home/yomia/src/nnscaler,0,0.0879935622215271,"[0.07874810695648193, 0.0879935622215271, 0.08885154873132706]"
large,3,0,d-new,66616d64,/home/yomia/src/nnscaler,0,0.13773268461227417,"[0.13773268461227417, 0.1155799925327301, 0.14073078334331512]"
large,3,1,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.13796120882034302,"[0.13621731102466583, 0.14640910923480988, 0.13796120882034302]"
large,3,2,serial,66616d64,/home/yomia/src/nnscaler,0,0.08996297419071198,"[0.08679138123989105, 0.08996297419071198, 0.09048549085855484]"
large,3,3,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.11216700822114944,"[0.11216700822114944, 0.11057060956954956, 0.12508134543895721]"
large,4,0,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.1302429586648941,"[0.1302429586648941, 0.11563970148563385, 0.14173771440982819]"
large,4,1,serial,66616d64,/home/yomia/src/nnscaler,0,0.07387835532426834,"[0.0695633813738823, 0.07387835532426834, 0.07715298235416412]"
large,4,2,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.15604278445243835,"[0.13667640089988708, 0.18094611167907715, 0.15604278445243835]"
large,4,3,d-new,66616d64,/home/yomia/src/nnscaler,0,0.10301220417022705,"[0.10084882378578186, 0.10369930416345596, 0.10301220417022705]"
large,5,0,serial,66616d64,/home/yomia/src/nnscaler,0,0.08153271675109863,"[0.07607278227806091, 0.08153271675109863, 0.08782579749822617]"
large,5,1,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.14368852972984314,"[0.12445376068353653, 0.14400607347488403, 0.14368852972984314]"
large,5,2,d-new,66616d64,/home/yomia/src/nnscaler,0,0.1121918112039566,"[0.11273426562547684, 0.1121918112039566, 0.11049613356590271]"
large,5,3,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.12416044622659683,"[0.11747895926237106, 0.12683138251304626, 0.12416044622659683]"
large,6,0,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.15665149688720703,"[0.1640928089618683, 0.13542936742305756, 0.15665149688720703]"
large,6,1,d-new,66616d64,/home/yomia/src/nnscaler,0,0.09938592463731766,"[0.09977857023477554, 0.09843678772449493, 0.09938592463731766]"
large,6,2,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.12694290280342102,"[0.11937539279460907, 0.12694290280342102, 0.1405659019947052]"
large,6,3,serial,66616d64,/home/yomia/src/nnscaler,0,0.08662167936563492,"[0.08274015784263611, 0.08687935769557953, 0.08662167936563492]"
large,7,0,d-new,66616d64,/home/yomia/src/nnscaler,0,0.15539027750492096,"[0.16053852438926697, 0.1468079388141632, 0.15539027750492096]"
large,7,1,d-old,6e1268b4,/tmp/nnscaler-d-old-6e,0,0.13316766917705536,"[0.14218392968177795, 0.13111959397792816, 0.13316766917705536]"
large,7,2,serial,66616d64,/home/yomia/src/nnscaler,0,0.09042280167341232,"[0.09042280167341232, 0.08794204890727997, 0.09079627692699432]"
large,7,3,c-baseline,71af7929,/tmp/nnscaler-c-71,0,0.11970555782318115,"[0.11970555782318115, 0.11649413406848907, 0.1444104015827179]"
